"","DrugName"
"1"," blepharospasm"
"2"," overactive bladder/ detruor overactivity"
"3"," RANIBIZUMAB LUCENTIS 10 mg in 1ml Injection"
"4"," SOMATROPIN (RBE) 12MG POWDER AND SOLVENT FOR SOLUTION FOR INJECTION CARTRIDGES"
"5"," TOCILIZUMAB (ROACTEMRA) 478mg sodium chloride 0.9% bp "
"6","	HYDROCORTISONE 5MG/5ML ORAL SUSPENSION"
"7","""AZATHIOPRINE!25mg!TABLETS (100 tabs)              """
"8","""AZATHIOPRINE!50mg!TABLETS (56 tabs)               """
"9","""BIOTIN!5mg!TABLETS (30 tabs)(UL)                  """
"10","""BOTULINIUM A TOXIN (BOTOX) 100units """
"11","""CHLORAL HYDRATE!500mg/5mL!SYRUP (200mL)(UL)       """
"12","""CLOBAZAM!10mg/5mL!SUSPENSION (150mL)              """
"13","""CLONAZEPAM!2mg!TABLETS (100 tabs)                 """
"14","""CLONIDINE 10MCG IN 1ML ORAL SOLUTION (GUYS AND ST """
"15","""DIPYRIDAMOLE!50mg/5mL!SUSPENSION (150mL)          """
"16","""ENOXAPARIN 100mg (10 000units)/1mL SYRINGE        """
"17","""ENOXAPARIN 100mg (10000units)/1mL SYRINGE        """
"18","""ENOXAPARIN 80mg (8 000units)/0.8mL SYRINGE        """
"19","""ENOXAPARIN 80mg (8000units)/0.8mL SYRINGE        """
"20","""ETHOSUXIMIDE!250mg/5mL!SYRUP (200mL)              """
"21","""HYDROCORTISONE 5mg in 5mL ORAL SUSPENSION (OXFORD """
"22","""METHOTREXATE - Metoject (methotrexate) 10mg/0.2ml """
"23","""METHOTREXATE - Metoject (methotrexate) 10mg/0.2ml for injection """
"24","""METHOTREXATE - Metoject (methotrexate) 15mg/0.3ml """
"25","""METHOTREXATE - Metoject (methotrexate) 20mg/0.4ml """
"26","""Metoject (methotrexate) 10mg/0.2ml for injection """
"27","""OMEPRAZOLE10mg/5mL(QuZOLE)PWD+DIL ORAL SUSP(UL)   """
"28","""PHENOBARBITAL 50mg in 5mL ORAL SUSPENSION ALCOHOL """
"29","""SODIUM VALPROATE!200mg/5mL LIQUID EPILIM (300mL)  """
"30","""URSODEOXYCHOLIC ACID (URSOFALK) 250mg in 5mL ORAL """
"31","#HOMECARE DARBEPOETIN ALFA^"
"32","#HOMECARE DARBEPOETIN ALFA^ 50 micrograms Injection"
"33","#N/A"
"34","(blank)"
"35","(HCA) Abatacept 125mg/1mL Injection (P/F Syringe) (1)"
"36","(HCA) ADALIMUMAB 40mg/0.8ml PRE FILLED PEN (IMRALDI) (2)"
"37","(HCA) BAND G Components"
"38","(HCA) Certolizumab Pegol 200mg/1mL Injection"
"39","(HCA) EPOETIN ALFA (EPREX) 5000units/0.5ml (PFS) (6)"
"40","(HCA) EPOETIN BETA (MPG) (MIRCERA) PFS 100mcg 0.3ml (1)"
"41","(HCA) EPOETIN BETA (MPG) (MIRCERA) PFS 120mcg 0.3ml (1)"
"42","(HCA) EPOETIN BETA (MPG) (MIRCERA) PFS 30mcg 0.3ml (1)"
"43","(HCA) EPOETIN BETA (MPG) (MIRCERA) PFS 50mcg 0.3ml (1)"
"44","(HCA) ETANERCEPT 50mg PRE-FILLED SYRINGE (4)"
"45","(HCA) ETANERCEPT 50mg/1ml PRE FILLED PEN (4)"
"46","(HCA) ETANERCEPT 50mg/1ml PRE FILLED SYRINGE (4)"
"47","(HCA) LANREOTIDE 120MG!AUTOGEL PREFILLED SYRINGE (1)"
"48","(HCA) OCTREOTIDE 30mg DEPOT INJECTION (1vial)"
"49","(HCA)USTEKINUMAB 45mg/0.5mL Injection(Prefilled Syringe)"
"50","(HCD) HOMECARE 12 WEEK DELIVERY (VAN)"
"51","(HCD) HOMECARE 16 WEEK DELIVERY (VAN)"
"52","(HCD) HOMECARE 6 MONTH DELIVERY CHARGE (VAN)"
"53","(HCD) HOMECARE DELIVERY CHARGE (VAN) (·52.00)"
"54","(HCD) HOMECARE DELIVERY CHARGE (VAN) (ú45.50)"
"55","(HCD) HOMECARE DELIVERY CHARGE (VAN) (ú47.17)"
"56","(HCD) HOMECARE DELIVERY CHARGE (VAN) (ú51.00)"
"57","(HCD) HOMECARE DELIVERY CHARGE (VAN) (ú52.00)"
"58","(HOME) ADALIMUMAB"
"59","(HOME) ADOPORT"
"60","(HOME) ADVAGRAF"
"61","(HOME) AZATHIOPRINE"
"62","(HOME) BOSENTAN"
"63","(HOME) CICLOSPORIN"
"64","(HOME) CINACALCET"
"65","(HOME) DARBEPOETIN ALFA"
"66","(HOME) DARBEPOETIN FRESENIUS DELIVERY"
"67","(HOME) DESFERRIOXAMINE"
"68","(HOME) ECULIZUMAB"
"69","(HOME) ENVARSUS"
"70","(HOME) EPREX (Epoetin Alfa)"
"71","(HOME) EVOLOCUMAB"
"72","(HOME) GOLIMUMAB"
"73","(HOME) HEALTHCARE AT HOME DELIVERY (Bosentan)"
"74","(HOME) HEALTHCARE AT HOME DELIVERY (Neorecormon)"
"75","(HOME) HPN ANCILLARY COST"
"76","(HOME) HPN BAND A BAXTER"
"77","(HOME) HPN BAND A CALEA"
"78","(HOME) HPN BAND A LLOYDS"
"79","(HOME) HPN BAND C BAXTER"
"80","(HOME) HPN BAND C CALEA"
"81","(HOME) HPN BAND D SIMPLE FLUID BAXTER"
"82","(HOME) HPN BAND D SIMPLE FLUID CALEA"
"83","(HOME) HPN BAND E CALEA"
"84","(HOME) HPN BAND H CALEA"
"85","(HOME) HPN BAXTER Installation & Removal fee"
"86","(HOME) HPN BAXTER On Hold Charge"
"87","(HOME) HPN CALEA Installation & Removal fee"
"88","(HOME) HPN CALEA On Hold Charge"
"89","(HOME) HPN Delivery BAXTER"
"90","(HOME) HPN Delivery CALEA (Standard)"
"91","(HOME) HPN Delivery Lloyds"
"92","(HOME) HPN Nursing BAXTER"
"93","(HOME) HPN Nursing CALEA"
"94","(HOME) HUMIRA (ADALIMUMAB)"
"95","(HOME) IMMUNO 1 MONTHLY DELIVERY"
"96","(HOME) IMMUNO 2 MONTHLY DELIVERY"
"97","(HOME) IMMUNO 3 MONTHLY DELIVERY"
"98","(HOME) IMMUNO 4 MONTHLY DELIVERY"
"99","(HOME) IMMUNO 5 MONTHLY DELIVERY"
"100","(HOME) IMMUNO 6 MONTHLY DELIVERY"
"101","(HOME) IMRALDI (ADALIMUMAB)"
"102","(HOME) LLOYDS Framework Equipment Hire"
"103","(HOME) MODIGRAF"
"104","(HOME) MOVYMIA (Teriparatide)"
